State_Abbrev,year,State_Name,pop_millions,percapita_health_spending_thousands,medicaid_enroll_percapita,prev2years_drugusecalc,prev2years_aud,prev2years_marijuana,Gender_Male,Ethnicity_HispanicorLatino,Race_White,Insurance_Uninsured,Unemployment,Income,Forprofit,Government,Nonprofit,count_tx_total
CA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,684,228,739,1651
CA,2022,California,39.14241,NA,NA,1.60745,6.7281,13.9293,50.05212745,40.30859654,70.73479486,6.5,4.3,88690,705,229,731,1665
CA,2023,California,39.19869,NA,NA,1.420411414,12.05433384,16.05199038,49.90518846,40.44747578,70.39029166,NA,4.7,89870,671,153,657,1481
CO,2015,Colorado,5.454328,7.075,0.189390884,1.52155,7.9271,15.1701,49.83563492,17.97575978,89.10954504,8.1,3.7,83660,220,24,159,403
CO,2016,Colorado,5.543844,7.323,0.20437083,1.6722,7.911,17.1216,49.83563492,17.97575978,89.10954504,7.7,3.1,87870,200,23,176,399
CO,2017,Colorado,5.617421,7.615,0.205788386,1.4719,6.7942,16.6168,49.83563492,17.97575978,89.10954504,7.5,2.6,91760,192,23,166,381
CO,2018,Colorado,5.697155,7.998,0.192376721,1.5858,6.7287,17.1771,49.83563492,17.97575978,89.10954504,7.7,3,87610,219,24,161,404
CO,2019,Colorado,5.758486,8.286,0.182165937,2.2512,8.9442,18.1246,50.17445194,19.05081353,88.05083641,7.8,2.7,85700,225,24,159,408
CO,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,21,152,393
CO,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,19,162,365
CO,2022,Colorado,5.850935,NA,NA,2.42175,8.771,18.1509,50.76338296,22.51680929,86.17992762,7,3.1,93510,177,15,148,340
CO,2023,Colorado,5.901339,NA,NA,1.661422117,14.99287173,20.54492899,50.63634709,22.73590796,85.95304894,NA,3.3,96640,163,7,141,311
CT,2015,Connecticut,3.588561,10.294,0.254698192,1.46715,7.1792,8.5585,48.08421737,12.64422937,83.21653264,6.1,5.6,91570,17,13,185,215
CT,2016,Connecticut,3.57983,10.705,0.276270102,1.77715,7.3222,9.7221,48.08421737,12.64422937,83.21653264,4.9,4.9,94540,18,13,193,224
CT,2017,Connecticut,3.575324,10.989,0.289763949,1.7177,7.1776,9.4982,48.08421737,12.64422937,83.21653264,5.6,4.4,90930,16,13,181,210
CT,2018,Connecticut,3.574561,11.378,0.297379175,1.86055,6.444,10.8581,48.08421737,12.64422937,83.21653264,5.3,3.9,87340,20,12,188,220
CT,2019,Connecticut,3.566022,11.831,0.304821451,1.3213,6.387,12.4223,48.19356602,14.70017353,81.16553037,5.9,3.6,103200,18,12,190,220
CT,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,11,178,210
CT,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,22,208,260
CT,2022,Connecticut,3.617925,NA,NA,1.25285,6.6041,12.8116,48.98382744,18.17269018,78.3598004,5.2,4.1,94340,25,19,177,221
CT,2023,Connecticut,3.643023,NA,NA,1.328537439,12.8296424,15.64853692,49.04207039,18.61255853,78.01240526,NA,3.2,92240,24,11,135,170
DC,2015,District of Columbia,0.677014,12.5,0.384039326,2.0886,10.1963,12.7153,46.83900909,9.31913127,46.2307199,3.7,6.9,88030,7,1,25,33
DC,2016,District of Columbia,0.687576,12.851,0.391229479,1.99895,8.5512,12.1021,46.83900909,9.31913127,46.2307199,4,6.2,88390,6,1,27,34
DC,2017,District of Columbia,0.697079,13.131,0.403110695,2.05425,8.9087,14.4135,46.83900909,9.31913127,46.2307199,3.6,6.1,99470,5,2,20,27
DC,2018,District of Columbia,0.704147,13.487,0.3990644,2.4769,9.4754,17.6678,46.83900909,9.31913127,46.2307199,3.2,5.7,102900,5,2,17,24
DC,2019,District of Columbia,0.708253,13.934,0.396750879,2.59005,10.5659,17.0902,46.71610078,10.00894363,48.40160537,3.6,5.5,110100,6,2,18,26
DC,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,19,28
DC,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,23,34
DC,2022,District of Columbia,0.676725,NA,NA,2.42455,9.438,16.8022,47.58567616,11.74615177,46.24748624,2.9,4.7,105700,8,3,22,33
DC,2023,District of Columbia,0.687324,NA,NA,1.654539737,18.19989311,21.85791027,47.38266085,11.99725467,46.60398367,NA,4.8,111000,14,1,14,29
DE,2015,Delaware,0.942065,10.714,0.2505135,1.597,6.5291,8.2263,47.7182212,7.000202603,73.38285537,5.6,4.8,72560,12,2,24,38
DE,2016,Delaware,0.949989,10.933,0.250529217,1.7515,6.2066,8.1095,47.7182212,7.000202603,73.38285537,5.8,4.5,72280,18,2,27,47
DE,2017,Delaware,0.957942,11.444,0.252624898,1.43115,6.5099,9.028,47.7182212,7.000202603,73.38285537,5.6,4.4,79500,15,1,18,34
DE,2018,Delaware,0.966985,11.771,0.25336484,1.54735,6.5552,10.1837,47.7182212,7.000202603,73.38285537,5.8,3.7,77990,19,1,20,40
DE,2019,Delaware,0.976668,12.213,0.24982901,1.6422,6.618,11.4371,47.69958765,7.759012435,71.29200355,6.6,3.6,87700,19,1,24,44
DE,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,1,25,49
DE,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,2,28,55
DE,2022,Delaware,1.020625,NA,NA,1.50995,6.5821,12.6284,48.5587139,10.33969104,67.99967792,5.5,4.2,83960,27,3,28,58
DE,2023,Delaware,1.036423,NA,NA,1.429083801,12.25632393,14.8412597,48.37221022,11.10796693,67.55506885,NA,3.8,86340,25,2,14,41
FL,2015,Florida,20.21911,8.33,0.185715395,1.2099,6.3059,7.5887,48.32932899,22.40209576,80.1209186,13.4,5.5,61340,321,34,314,669
FL,2016,Florida,20.62724,8.519,0.1861616,1.12635,6.1937,7.8732,48.32932899,22.40209576,80.1209186,12.5,4.9,63730,366,36,314,716
FL,2017,Florida,20.97709,8.814,0.185535744,0.9843,5.9294,7.7032,48.32932899,22.40209576,80.1209186,12.9,4.3,64960,352,34,282,668
FL,2018,Florida,21.25493,9.148,0.174124309,1.19445,5.5681,8.7477,48.32932899,22.40209576,80.1209186,13.2,3.6,65550,395,34,297,726
FL,2019,Florida,21.49206,9.49,0.168201652,1.21955,4.779,9.4716,48.34931029,24.95351021,79.16554376,13.1,3.2,69000,397,33,295,725
FL,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388,34,290,712
FL,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,381,50,283,714
FL,2022,Florida,22.37931,NA,NA,1.0516,4.1714,10.4218,49.20437443,27.08508852,76.80281835,11.2,3,67960,426,39,282,747
FL,2023,Florida,22.90487,NA,NA,0.892420996,9.780468439,12.67180052,49.1307046,27.40940295,76.659772,NA,3,72200,365,24,221,610
GA,2015,Georgia,10.183353,7.055,0.181570844,0.8713,6.6125,7.9572,48.05534606,7.482383156,64.04313741,13.9,6.1,63780,157,77,88,322
GA,2016,Georgia,10.308442,7.353,0.183829913,1.00915,5.8573,7.8868,48.05534606,7.482383156,64.04313741,12.9,5.4,66650,163,65,86,314
GA,2017,Georgia,10.417031,7.605,0.186041493,1.12995,4.7936,7.3114,48.05534606,7.482383156,64.04313741,13.4,4.8,70960,156,60,76,292
GA,2018,Georgia,10.519389,7.844,0.190315236,1.0541,4.7759,6.8886,48.05534606,7.482383156,64.04313741,13.8,4,66960,177,66,89,332
GA,2019,Georgia,10.62802,8.243,0.190251806,1.0829,4.8572,8.4711,47.90672863,8.268304036,61.6240743,13.4,3.6,66940,199,66,93,358
GA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,58,101,348
GA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,87,104,351
GA,2022,Georgia,10.931805,NA,NA,0.86965,4.9001,9.552,48.84736159,10.45139705,58.98246255,11.7,3.2,70420,179,104,106,389
GA,2023,Georgia,11.064432,NA,NA,1.023703505,10.29169627,12.75765701,48.73425853,11.13797912,58.69449418,NA,3.3,72420,146,63,76,285
HI,2015,Hawaii,1.422999,7.747,0.224877178,0.88905,7.1933,7.9244,49.87708242,7.783265026,28.272317,3.8,3.4,81050,21,6,142,169
HI,2016,Hawaii,1.428885,8.041,0.24774562,1.1114,5.6379,8.1108,49.87708242,7.783265026,28.272317,3.5,2.9,89820,26,6,142,174
HI,2017,Hawaii,1.425763,8.496,0.253197761,1.17125,5.2548,8.3243,49.87708242,7.783265026,28.272317,3.8,2.2,90070,23,7,138,168
HI,2018,Hawaii,1.423102,8.932,0.245941612,1.127,5.5091,8.3134,49.87708242,7.783265026,28.272317,3.9,2.4,96100,27,6,135,168
HI,2019,Hawaii,1.415615,9.555,0.236646263,1.27105,5.5463,9.1104,49.73346975,8.565520751,27.46766697,4.1,2.5,104000,29,5,133,167
HI,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,4,125,161
HI,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,7,106,137
HI,2022,Hawaii,1.440359,NA,NA,1.438,6.3073,10.4668,50.32030363,11.11675078,25.22295576,3.6,3.3,94620,21,12,101,134
HI,2023,Hawaii,1.441387,NA,NA,1.261250873,10.39249216,12.29298031,50.15510704,10.11129243,25.19026045,NA,2.9,97360,16,3,79,98
IA,2015,Iowa,3.122541,8.358,0.212647328,0.76925,6.5925,5.0021,49.15153003,4.211704167,93.57314566,4.9,3.7,76450,23,10,118,151
IA,2016,Iowa,3.13321,8.464,0.224051372,0.62685,6.7489,4.7242,49.15153003,4.211704167,93.57314566,4,3.6,73590,25,11,127,163
IA,2017,Iowa,3.143734,8.525,0.225527987,0.7308,6.8289,5.4809,49.15153003,4.211704167,93.57314566,4.4,3.1,77670,27,8,128,163
IA,2018,Iowa,3.1499,8.812,0.226038922,0.88415,7.5784,6.8031,49.15153003,4.211704167,93.57314566,4.9,2.6,82430,31,8,128,167
IA,2019,Iowa,3.159596,9.193,0.225978258,0.92925,7.1763,7.2106,49.37438081,5.068615569,91.94132566,4.7,2.7,78080,36,6,145,187
IA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,5,143,185
