"State_Abbrev","year","State_Name","pop_thousands","percapita_health_spending","medicaid_enrollment","medicaid_enroll_percapita","cocaine_yr","marijuana_month","aud_yr","heroin_yr","binge_drinking","illicit_druguse","needing_tx","sud","start_year","percapita_health_spending_thousands","pop_millions","prev2years_bingedrinking","prev2years_druguse","prev2years_sud","prev2years_needingtx","prev2years_aud","prev2years_marijuana","druguse_calc","prev2years_drugusecalc","prev2years_cocaine","prev2years_heroin","tx_percapita","Gender_Female","Gender_Male","Ethnicity_HispanicorLatino","Ethnicity_NotHispanicorLatino","Race_AmericanIndianorAlaskaNative","Race_Asian","Race_BlackorAfricanAmerican","Race_Morethanonerace","Race_NativeHawaiianorOtherPacificIslander","Race_White","Insurance_Employer","Insurance_Non.Group","Insurance_Medicaid","Insurance_Medicare","Insurance_Military","Insurance_Uninsured","Insurance_Total","Population","Unemployment","Income","count_tx"
"CA","2015","California",38904,7998,11493,0.29541949413942,2.2846,9.8151,6.9505,0.2102,NA,NA,NA,NA,"2014",7.998,38.904,NA,NA,NA,NA,7.0675,9.2534,1.2474,1.2366,2.2689,0.2043,1.03331276989513e-05,50.7865565688765,49.2134434311235,34.0441374377156,65.9558625622844,1.57459792982178,14.8980117981165,6.52873040001433,2.75779160963937,0.482498993039453,73.7583692693685,45.8,7.7,26.5,10.4,1.1,8.5,100,38904.3,6.3,77030,1399
"CA","2016","California",39149,8325,10883,0.277989220669749,2.5931,10.8367,6.8181,0.2576,25.9142,4.1248,8.396,8.7974,"2015",8.325,39.149,NA,NA,NA,NA,6.9505,9.8151,1.42535,1.2474,2.2846,0.2102,1.20309586451761e-05,50.7865565688765,49.2134434311235,34.0441374377156,65.9558625622844,1.57459792982178,14.8980117981165,6.52873040001433,2.75779160963937,0.482498993039453,73.7583692693685,46.3,7.5,27.2,10.6,1,7.4,100,39149.19,5.5,79960,1430
"CA","2017","California",39338,8594,10920,0.277594183740912,2.9118,11.782,5.8678,0.1988,25.4391,3.9614,7.4114,7.7753,"2016",8.594,39.338,25.9142,4.1248,8.7974,8.396,6.8181,10.8367,1.5553,1.42535,2.5931,0.2576,1.12613757689766e-05,50.7865565688765,49.2134434311235,34.0441374377156,65.9558625622844,1.57459792982178,14.8980117981165,6.52873040001433,2.75779160963937,0.482498993039453,73.7583692693685,47.1,7.4,26.4,10.8,0.9,7.2,100,39337.79,4.8,82580,1311
"CA","2018","California",39437,9069,11232,0.284808682201993,3.0363,12.4628,6.302,0.1999,26.49,3.6245,7.7916,8.117,"2017",9.069,39.437,25.4391,3.9614,7.7753,7.4114,5.8678,11.782,1.6181,1.5553,2.9118,0.1988,1.42505768694373e-05,50.7865565688765,49.2134434311235,34.0441374377156,65.9558625622844,1.57459792982178,14.8980117981165,6.52873040001433,2.75779160963937,0.482498993039453,73.7583692693685,47.4,7.2,26.3,10.9,1,7.2,100,39437.46,4.2,81480,1502
"CA","2019","California",39438,9628,10912,0.276687458796085,2.9699,13.9293,6.7281,0.245,25.2396,4.163,8.7621,9.2301,"2018",9.628,39.438,26.49,3.6245,8.117,7.7916,6.302,12.4628,1.60745,1.6181,3.0363,0.1999,1.97778792027993e-05,50.6820478754999,49.3179521245001,35.708323458186,64.291676541814,1.61201676657665,16.3103595679427,6.53625450501441,3.10035119853036,0.500508795082789,71.940509166853,48,6.6,25.3,11.4,0.9,7.8,100,39437.61,4.1,88960,1797
"CO","2015","Colorado",5454,7075,1033,0.189402273560689,2.9342,17.1216,7.911,0.4102,NA,NA,NA,NA,"2014",7.075,5.454,NA,NA,NA,NA,7.9271,15.1701,1.6722,1.52155,2.7383,0.3048,4.03373670700403e-05,50.1643650758397,49.8356349241603,17.9757597805719,82.024240219428,1.46892523579012,3.09145805359093,4.17934218731737,1.98166188514471,0.169067601977195,89.1095450361797,50,8.5,19.2,11.7,2.5,8.1,100,5454.328,3.7,80610,403
"CO","2016","Colorado",5544,7323,1133,0.204365079365079,2.5608,16.6168,6.7942,0.383,28.6228,3.8765,8.5481,8.6726,"2015",7.323,5.544,NA,NA,NA,NA,7.911,17.1216,1.4719,1.6722,2.9342,0.4102,3.60750360750361e-05,50.1643650758397,49.8356349241603,17.9757597805719,82.024240219428,1.46892523579012,3.09145805359093,4.17934218731737,1.98166188514471,0.169067601977195,89.1095450361797,50.5,8.1,19.4,12,2.3,7.7,100,5543.844,3.1,84670,399
"CO","2017","Colorado",5617,7615,1156,0.205803809862916,2.8715,17.1771,6.7287,0.3001,29.1234,4.0606,8.938,9.0737,"2016",7.615,5.617,28.6228,3.8765,8.6726,8.5481,6.7942,16.6168,1.5858,1.4719,2.5608,0.383,3.41819476588926e-05,50.1643650758397,49.8356349241603,17.9757597805719,82.024240219428,1.46892523579012,3.09145805359093,4.17934218731737,1.98166188514471,0.169067601977195,89.1095450361797,50.8,7.5,19.7,12.2,2.4,7.5,100,5617.421,2.6,88420,381
"CO","2018","Colorado",5697,7998,1096,0.192381955415131,4.1262,18.1246,8.9442,0.3762,32.468,4.8193,11.2599,11.8988,"2017",7.998,5.697,29.1234,4.0606,9.0737,8.938,6.7287,17.1771,2.2512,1.5858,2.8715,0.3001,3.84412848867825e-05,50.1643650758397,49.8356349241603,17.9757597805719,82.024240219428,1.46892523579012,3.09145805359093,4.17934218731737,1.98166188514471,0.169067601977195,89.1095450361797,52.1,7.2,18.5,12.5,2.1,7.7,100,5697.155,3,84420,404
"CO","2019","Colorado",5758,8286,1049,0.182181312955887,4.4617,18.1509,8.771,0.3818,31.2368,4.8706,11.0349,11.7543,"2018",8.286,5.758,32.468,4.8193,11.8988,11.2599,8.9442,18.1246,2.42175,2.2512,4.1262,0.3762,3.90760680791942e-05,49.825548062525,50.174451937475,19.0508135277942,80.9491864722058,1.49895164459297,3.51447294678833,4.4020486857184,2.34738759695261,0.186302718482531,88.0508364074652,53.4,6.9,16.8,12.8,2.3,7.8,100,5758.486,2.7,82580,408
"CT","2015","Connecticut",3589,10294,914,0.254667038172193,2.6047,9.7221,7.3222,0.9496,NA,NA,NA,NA,"2014",10.294,3.589,NA,NA,NA,NA,7.1792,8.5585,1.77715,1.46715,2.3317,0.6026,4.73669545834494e-06,51.9157826333942,48.0842173666058,12.6442293677974,87.3557706322026,0.463410940564952,4.13970012662395,10.653012704342,1.42912293898375,0.0982206527140965,83.2165326367713,54.2,6.5,19.6,12.9,0.7,6.1,100,3588.561,5.6,88230,215
"CT","2016","Connecticut",3580,10705,989,0.276256983240223,2.663,9.4982,7.1776,0.7724,29.1395,3.7798,8.8062,9.5922,"2015",10.705,3.58,NA,NA,NA,NA,7.3222,9.7221,1.7177,1.77715,2.6047,0.9496,5.02793296089386e-06,51.9157826333942,48.0842173666058,12.6442293677974,87.3557706322026,0.463410940564952,4.13970012662395,10.653012704342,1.42912293898375,0.0982206527140965,83.2165326367713,54.6,6.2,20.2,13.3,0.7,4.9,100,3579.83,4.8,91100,224
"CT","2017","Connecticut",3575,10989,1036,0.28979020979021,2.9538,10.8581,6.444,0.7673,30.4708,3.8721,7.8046,8.7747,"2016",10.989,3.575,29.1395,3.7798,9.5922,8.8062,7.1776,9.4982,1.86055,1.7177,2.663,0.7724,4.47552447552448e-06,51.9157826333942,48.0842173666058,12.6442293677974,87.3557706322026,0.463410940564952,4.13970012662395,10.653012704342,1.42912293898375,0.0982206527140965,83.2165326367713,53.8,5.9,20.3,13.6,0.7,5.6,100,3575.324,4.4,87620,210
"CT","2018","Connecticut",3575,11378,1063,0.297342657342657,2.214,12.4223,6.387,0.4286,31.4108,3.7813,7.9151,8.8224,"2017",11.378,3.575,30.4708,3.8721,8.7747,7.8046,6.444,10.8581,1.3213,1.86055,2.9538,0.7673,5.59440559440559e-06,51.9157826333942,48.0842173666058,12.6442293677974,87.3557706322026,0.463410940564952,4.13970012662395,10.653012704342,1.42912293898375,0.0982206527140965,83.2165326367713,53.9,5.4,20.6,13.9,0.7,5.3,100,3574.561,3.9,84160,220
"CT","2019","Connecticut",3566,11831,1087,0.304823331463825,2.1457,12.8116,6.6041,0.36,30.2486,3.678,7.5878,8.4255,"2018",11.831,3.566,31.4108,3.7813,8.8224,7.9151,6.387,12.4223,1.25285,1.3213,2.214,0.4286,5.04767246214246e-06,51.8064339767404,48.1935660232596,14.7001735275696,85.2998264724304,0.536892750380274,4.80233850064571,11.6556911476985,1.73379616745728,0.105751068607151,81.1655303652111,52.9,4.8,21.5,14.1,0.7,5.9,100,3566.022,3.6,99420,220
"DC","2015","District of Columbia",677,12500,260,0.384047267355982,3.3516,12.1021,8.5512,0.6463,NA,NA,NA,NA,"2014",12.5,0.677,NA,NA,NA,NA,10.1963,12.7153,1.99895,2.0886,3.6434,0.5338,1.03397341211226e-05,53.1609909071701,46.8390090928299,9.31913126962298,90.680868730377,0.546385294302988,4.15478939701156,46.7693208734751,2.18164901602458,0.117135517638904,46.2307199015469,54.2,6.9,26.5,7.8,0.9,3.7,100,677.014,6.9,84820,33
"DC","2016","District of Columbia",688,12851,269,0.390988372093023,3.6431,14.4135,8.9087,0.4654,39.7172,4.9386,10.0891,10.5873,"2015",12.851,0.688,NA,NA,NA,NA,8.5512,12.1021,2.05425,1.99895,3.3516,0.6463,8.72093023255814e-06,53.1609909071701,46.8390090928299,9.31913126962298,90.680868730377,0.546385294302988,4.15478939701156,46.7693208734751,2.18164901602458,0.117135517638904,46.2307199015469,52,6.7,28.5,7.5,1.2,4,100,687.576,6.2,85170,34
"DC","2017","District of Columbia",697,13131,281,0.403156384505022,4.5668,17.6678,9.4754,0.387,38.8251,5.4751,10.6723,11.546,"2016",13.131,0.697,39.7172,4.9386,10.5873,10.0891,8.9087,14.4135,2.4769,2.05425,3.6431,0.4654,7.17360114777618e-06,53.1609909071701,46.8390090928299,9.31913126962298,90.680868730377,0.546385294302988,4.15478939701156,46.7693208734751,2.18164901602458,0.117135517638904,46.2307199015469,53.2,6.2,28.1,7.8,1.2,3.6,100,697.079,6.1,95840,27
"DC","2018","District of Columbia",704,13487,281,0.399147727272727,4.7481,17.0902,10.5659,0.432,38.6551,5.5042,11.319,13.0078,"2017",13.487,0.704,38.8251,5.4751,11.546,10.6723,9.4754,17.6678,2.59005,2.4769,4.5668,0.387,7.10227272727273e-06,53.1609909071701,46.8390090928299,9.31913126962298,90.680868730377,0.546385294302988,4.15478939701156,46.7693208734751,2.18164901602458,0.117135517638904,46.2307199015469,52.9,7.1,27.7,8.3,0.8,3.2,100,704.147,5.7,99110,24
"DC","2019","District of Columbia",708,13934,281,0.396892655367232,4.1638,16.8022,9.438,0.6853,36.5176,5.484,10.8539,12.2963,"2018",13.934,0.708,38.6551,5.5042,13.0078,11.319,10.5659,17.0902,2.42455,2.59005,4.7481,0.432,8.47457627118644e-06,53.2838992178197,46.7161007821803,10.0089436344242,89.9910563655758,0.543855688685699,4.82163566838589,43.7684925581724,2.34947036107124,0.114940349921851,48.4016053737629,54.9,6.5,25.5,8.2,1.3,3.6,100,708.253,5.5,106100,26
"DE","2015","Delaware",942,10714,236,0.250530785562633,2.3723,8.1095,6.2066,1.1307,NA,NA,NA,NA,"2014",10.714,0.942,NA,NA,NA,NA,6.5291,8.2263,1.7515,1.597,1.9777,1.2163,1.27388535031847e-05,52.2817787966507,47.7182212033493,7.00020260275151,92.9997973972485,0.608085792551435,3.60619020790373,20.8576757301331,1.47164532861889,0.0735475741789732,73.3828553666138,51.6,5.2,20.5,15.6,1.5,5.6,100,942.065,4.8,69910,38
"DE","2016","Delaware",950,10933,238,0.250526315789474,2.0764,9.028,6.5099,0.7859,24.3422,3.5607,7.4959,8.2607,"2015",10.933,0.95,NA,NA,NA,NA,6.2066,8.1095,1.43115,1.7515,2.3723,1.1307,1.89473684210526e-05,52.2817787966507,47.7182212033493,7.00020260275151,92.9997973972485,0.608085792551435,3.60619020790373,20.8576757301331,1.47164532861889,0.0735475741789732,73.3828553666138,52.5,5.7,19.4,15.5,1.2,5.8,100,949.989,4.5,69650,47
"DE","2017","Delaware",958,11444,242,0.252609603340292,2.178,10.1837,6.5552,0.9167,24.2278,3.5148,8.0492,8.9265,"2016",11.444,0.958,24.3422,3.5607,8.2607,7.4959,6.5099,9.028,1.54735,1.43115,2.0764,0.7859,1.56576200417537e-05,52.2817787966507,47.7182212033493,7.00020260275151,92.9997973972485,0.608085792551435,3.60619020790373,20.8576757301331,1.47164532861889,0.0735475741789732,73.3828553666138,53.1,5.2,17.9,16.7,1.5,5.6,100,957.942,4.5,76600,34
"DE","2018","Delaware",967,11771,245,0.253360910031024,2.3744,11.4371,6.618,0.91,25.2086,3.5768,7.7564,8.759,"2017",11.771,0.967,24.2278,3.5148,8.9265,8.0492,6.5552,10.1837,1.6422,1.54735,2.178,0.9167,1.96483971044467e-05,52.2817787966507,47.7182212033493,7.00020260275151,92.9997973972485,0.608085792551435,3.60619020790373,20.8576757301331,1.47164532861889,0.0735475741789732,73.3828553666138,49.9,4.7,21.4,17,1.2,5.8,100,966.985,3.7,75140,40
"DE","2019","Delaware",977,12213,244,0.249744114636643,2.3904,12.6284,6.5821,0.6295,25.9846,4.1409,7.7549,8.793,"2018",12.213,0.977,25.2086,3.5768,8.759,7.7564,6.618,11.4371,1.50995,1.6422,2.3744,0.91,1.94472876151484e-05,52.3004123484441,47.6995876515559,7.7590124351862,92.2409875648138,0.641632304296321,4.13060505822723,22.0327418905885,1.80410535923512,0.098911840291039,71.2920035473618,49.7,4.1,20.4,17.3,1.8,6.6,100,976.668,3.6,84510,44
"FL","2015","Florida",20219,8330,3755,0.185716405361294,2.0155,7.8732,6.1937,0.2372,NA,NA,NA,NA,"2014",8.33,20.219,NA,NA,NA,NA,6.3059,7.5887,1.12635,1.2099,2.0895,0.3303,1.58761560908057e-05,51.6706710118126,48.3293289881874,22.402095757558,77.597904242442,0.467203653343493,2.67417870996975,15.3049961193014,1.33307084200469,0.0996320742250259,80.1209186011556,38.7,10.2,18.8,16.8,2.1,13.4,100,20219.11,5.5,59100,669
"FL","2016","Florida",20627,8519,3840,0.186163765937848,1.7301,7.7032,5.9294,0.2385,27.1351,3.4687,6.9254,7.3549,"2015",8.519,20.627,NA,NA,NA,NA,6.1937,7.8732,0.9843,1.12635,2.0155,0.2372,1.77437339409512e-05,51.6706710118126,48.3293289881874,22.402095757558,77.597904242442,0.467203653343493,2.67417870996975,15.3049961193014,1.33307084200469,0.0996320742250259,80.1209186011556,39.3,10.1,19,17.2,1.9,12.5,100,20627.24,4.9,61400,716
"FL","2017","Florida",20977,8814,3892,0.185536540020022,2.0864,8.7477,5.5681,0.3025,26.3567,3.2324,6.8424,7.1553,"2016",8.814,20.977,27.1351,3.4687,7.3549,6.9254,5.9294,7.7032,1.19445,0.9843,1.7301,0.2385,1.67802831672784e-05,51.6706710118126,48.3293289881874,22.402095757558,77.597904242442,0.467203653343493,2.67417870996975,15.3049961193014,1.33307084200469,0.0996320742250259,80.1209186011556,39.7,9.7,18.6,17.2,1.9,12.9,100,20977.09,4.3,62600,668
"FL","2018","Florida",21255,9148,3701,0.174123735591626,2.1345,9.4716,4.779,0.3046,24.4195,3.2127,6.2626,6.6763,"2017",9.148,21.255,26.3567,3.2324,7.1553,6.8424,5.5681,8.7477,1.21955,1.19445,2.0864,0.3025,1.85838626205599e-05,51.6706710118126,48.3293289881874,22.402095757558,77.597904242442,0.467203653343493,2.67417870996975,15.3049961193014,1.33307084200469,0.0996320742250259,80.1209186011556,40,9.7,18,17.4,1.8,13.2,100,21254.93,3.6,63160,726
"FL","2019","Florida",21492,9490,3615,0.16820212171971,1.8406,10.4218,4.1714,0.2626,23.8934,3.0808,5.651,5.9793,"2018",9.49,21.492,24.4195,3.2127,6.6763,6.2626,4.779,9.4716,1.0516,1.21955,2.1345,0.3046,1.84719895775172e-05,51.6506897142552,48.3493102857448,24.9535102061416,75.0464897938584,0.500188636180982,2.98244492770897,15.6637794601708,1.57892336747133,0.109119845192593,79.1655437632753,40.3,9.5,17.4,18,1.7,13.1,100,21492.06,3.3,66480,725
