"State_Abbrev","year","State_Name","pop_millions","percapita_health_spending_thousands","medicaid_enroll_percapita","prev2years_drugusecalc","prev2years_aud","prev2years_marijuana","Gender_Male","Ethnicity_HispanicorLatino","Race_White","Insurance_Uninsured","Unemployment","Income","Forprofit","Government","Nonprofit","count_tx_total","overdose_rate","overdose_rate_lag"
"CO","2018","Colorado",5.697,7.998,0.192381955415131,1.5858,6.7287,17.1771,49.8356349241603,17.9757597805719,89.1095450361797,7.7,3,84420,219,24,161,404,16.8,17.6
"CO","2019","Colorado",5.758,8.286,0.182181312955887,2.2512,8.9442,18.1246,50.174451937475,19.0508135277942,88.0508364074652,7.8,2.7,82580,225,24,159,408,18,16.8
"CT","2015","Connecticut",3.589,10.294,0.254667038172193,1.46715,7.1792,8.5585,48.0842173666058,12.6442293677974,83.2165326367713,6.1,5.6,88230,17,13,185,215,22.1,17.6
"CT","2016","Connecticut",3.58,10.705,0.276256983240223,1.77715,7.3222,9.7221,48.0842173666058,12.6442293677974,83.2165326367713,4.9,4.8,91100,18,13,193,224,27.4,22.1
"CT","2017","Connecticut",3.575,10.989,0.28979020979021,1.7177,7.1776,9.4982,48.0842173666058,12.6442293677974,83.2165326367713,5.6,4.4,87620,16,13,181,210,30.9,27.4
"CT","2018","Connecticut",3.575,11.378,0.297342657342657,1.86055,6.444,10.8581,48.0842173666058,12.6442293677974,83.2165326367713,5.3,3.9,84160,20,12,188,220,30.7,30.9
"CT","2019","Connecticut",3.566,11.831,0.304823331463825,1.3213,6.387,12.4223,48.1935660232596,14.7001735275696,81.1655303652111,5.9,3.6,99420,18,12,190,220,34.7,30.7
"DC","2015","District of Columbia",0.677,12.5,0.384047267355982,2.0886,10.1963,12.7153,46.8390090928299,9.31913126962298,46.2307199015469,3.7,6.9,84820,7,1,25,33,NA,NA
"DC","2016","District of Columbia",0.688,12.851,0.390988372093023,1.99895,8.5512,12.1021,46.8390090928299,9.31913126962298,46.2307199015469,4,6.2,85170,6,1,27,34,NA,NA
"DC","2017","District of Columbia",0.697,13.131,0.403156384505022,2.05425,8.9087,14.4135,46.8390090928299,9.31913126962298,46.2307199015469,3.6,6.1,95840,5,2,20,27,NA,NA
"DC","2018","District of Columbia",0.704,13.487,0.399147727272727,2.4769,9.4754,17.6678,46.8390090928299,9.31913126962298,46.2307199015469,3.2,5.7,99110,5,2,17,24,NA,NA
"DC","2019","District of Columbia",0.708,13.934,0.396892655367232,2.59005,10.5659,17.0902,46.7161007821803,10.0089436344242,48.4016053737629,3.6,5.5,106100,6,2,18,26,NA,NA
"DE","2015","Delaware",0.942,10.714,0.250530785562633,1.597,6.5291,8.2263,47.7182212033493,7.00020260275151,73.3828553666138,5.6,4.8,69910,12,2,24,38,22,20.9
"DE","2016","Delaware",0.95,10.933,0.250526315789474,1.7515,6.2066,8.1095,47.7182212033493,7.00020260275151,73.3828553666138,5.8,4.5,69650,18,2,27,47,30.8,22
"DE","2017","Delaware",0.958,11.444,0.252609603340292,1.43115,6.5099,9.028,47.7182212033493,7.00020260275151,73.3828553666138,5.6,4.5,76600,15,1,18,34,37,30.8
"DE","2018","Delaware",0.967,11.771,0.253360910031024,1.54735,6.5552,10.1837,47.7182212033493,7.00020260275151,73.3828553666138,5.8,3.7,75140,19,1,20,40,43.8,37
"DE","2019","Delaware",0.977,12.213,0.249744114636643,1.6422,6.618,11.4371,47.6995876515559,7.7590124351862,71.2920035473618,6.6,3.6,84510,19,1,24,44,48,43.8
"FL","2015","Florida",20.219,8.33,0.185716405361294,1.2099,6.3059,7.5887,48.3293289881874,22.402095757558,80.1209186011556,13.4,5.5,59100,321,34,314,669,16.2,13.2
"FL","2016","Florida",20.627,8.519,0.186163765937848,1.12635,6.1937,7.8732,48.3293289881874,22.402095757558,80.1209186011556,12.5,4.9,61400,366,36,314,716,23.7,16.2
"FL","2017","Florida",20.977,8.814,0.185536540020022,0.9843,5.9294,7.7032,48.3293289881874,22.402095757558,80.1209186011556,12.9,4.3,62600,352,34,282,668,25.1,23.7
"FL","2018","Florida",21.255,9.148,0.174123735591626,1.19445,5.5681,8.7477,48.3293289881874,22.402095757558,80.1209186011556,13.2,3.6,63160,395,34,297,726,22.8,25.1
"FL","2019","Florida",21.492,9.49,0.16820212171971,1.21955,4.779,9.4716,48.3493102857448,24.9535102061416,79.1655437632753,13.1,3.3,66480,397,33,295,725,25.5,22.8
"GA","2015","Georgia",10.183,7.055,0.181577138367868,0.8713,6.6125,7.9572,48.0553460563499,7.48238315617487,64.0431374067098,13.9,6.1,61450,157,77,88,322,12.7,11.9
"GA","2016","Georgia",10.308,7.353,0.18383779588669,1.00915,5.8573,7.8868,48.0553460563499,7.48238315617487,64.0431374067098,12.9,5.4,64230,163,65,86,314,13.3,12.7
