"State_Abbrev","profit_type","year","count_tx","State_Name","pop_thousands","percapita_health_spending","medicaid_enrollment","medicaid_enroll_percapita","cocaine_yr","marijuana_month","aud_yr","heroin_yr","binge_drinking","illicit_druguse","needing_tx","sud","start_year","percapita_health_spending_thousands","pop_millions","prev2years_bingedrinking","prev2years_druguse","prev2years_sud","prev2years_needingtx","prev2years_aud","prev2years_marijuana","druguse_calc","prev2years_drugusecalc","prev2years_cocaine","prev2years_heroin","tx_percapita","Gender_Female","Gender_Male","Ethnicity_HispanicorLatino","Ethnicity_NotHispanicorLatino","Race_AmericanIndianorAlaskaNative","Race_Asian","Race_BlackorAfricanAmerican","Race_Morethanonerace","Race_NativeHawaiianorOtherPacificIslander","Race_White","Insurance_Employer","Insurance_Non.Group","Insurance_Medicaid","Insurance_Medicare","Insurance_Military","Insurance_Uninsured","Insurance_Total","Population","Unemployment","Income"
"CT","Government","2016",13,"Connecticut",3580,10705,989,0.276256983240223,2.663,9.4982,7.1776,0.7724,29.1395,3.7798,8.8062,9.5922,"2015",10.705,3.58,NA,NA,NA,NA,7.3222,9.7221,1.7177,1.77715,2.6047,0.9496,3.63128491620112e-06,0.519157826333942,0.480842173666058,0.126442293677974,0.873557706322026,0.00463410940564952,0.0413970012662395,0.10653012704342,0.0142912293898375,0.000982206527140965,0.832165326367713,0.546,0.062,0.202,0.133,0.007,0.049,1,3579.83,4.8,91100
"CT","Government","2017",13,"Connecticut",3575,10989,1036,0.28979020979021,2.9538,10.8581,6.444,0.7673,30.4708,3.8721,7.8046,8.7747,"2016",10.989,3.575,29.1395,3.7798,9.5922,8.8062,7.1776,9.4982,1.86055,1.7177,2.663,0.7724,3.63636363636364e-06,0.519157826333942,0.480842173666058,0.126442293677974,0.873557706322026,0.00463410940564952,0.0413970012662395,0.10653012704342,0.0142912293898375,0.000982206527140965,0.832165326367713,0.538,0.059,0.203,0.136,0.007,0.056,1,3575.324,4.4,87620
"CT","Government","2018",12,"Connecticut",3575,11378,1063,0.297342657342657,2.214,12.4223,6.387,0.4286,31.4108,3.7813,7.9151,8.8224,"2017",11.378,3.575,30.4708,3.8721,8.7747,7.8046,6.444,10.8581,1.3213,1.86055,2.9538,0.7673,3.35664335664336e-06,0.519157826333942,0.480842173666058,0.126442293677974,0.873557706322026,0.00463410940564952,0.0413970012662395,0.10653012704342,0.0142912293898375,0.000982206527140965,0.832165326367713,0.539,0.054,0.206,0.139,0.007,0.053,1,3574.561,3.9,84160
"CT","Government","2019",12,"Connecticut",3566,11831,1087,0.304823331463825,2.1457,12.8116,6.6041,0.36,30.2486,3.678,7.5878,8.4255,"2018",11.831,3.566,31.4108,3.7813,8.8224,7.9151,6.387,12.4223,1.25285,1.3213,2.214,0.4286,3.36511497476164e-06,0.518064339767404,0.481935660232596,0.147001735275696,0.852998264724304,0.00536892750380274,0.0480233850064571,0.116556911476985,0.0173379616745728,0.00105751068607151,0.811655303652111,0.529,0.048,0.215,0.141,0.007,0.059,1,3566.022,3.6,99420
"DC","Government","2015",1,"District of Columbia",677,12500,260,0.384047267355982,3.3516,12.1021,8.5512,0.6463,NA,NA,NA,NA,"2014",12.5,0.677,NA,NA,NA,NA,10.1963,12.7153,1.99895,2.0886,3.6434,0.5338,1.47710487444609e-06,0.531609909071701,0.468390090928299,0.0931913126962298,0.90680868730377,0.00546385294302988,0.0415478939701156,0.467693208734751,0.0218164901602458,0.00117135517638904,0.462307199015469,0.542,0.069,0.265,0.078,0.009,0.037,1,677.014,6.9,84820
"DC","Government","2016",1,"District of Columbia",688,12851,269,0.390988372093023,3.6431,14.4135,8.9087,0.4654,39.7172,4.9386,10.0891,10.5873,"2015",12.851,0.688,NA,NA,NA,NA,8.5512,12.1021,2.05425,1.99895,3.3516,0.6463,1.45348837209302e-06,0.531609909071701,0.468390090928299,0.0931913126962298,0.90680868730377,0.00546385294302988,0.0415478939701156,0.467693208734751,0.0218164901602458,0.00117135517638904,0.462307199015469,0.52,0.067,0.285,0.075,0.012,0.04,1,687.576,6.2,85170
"DC","Government","2017",2,"District of Columbia",697,13131,281,0.403156384505022,4.5668,17.6678,9.4754,0.387,38.8251,5.4751,10.6723,11.546,"2016",13.131,0.697,39.7172,4.9386,10.5873,10.0891,8.9087,14.4135,2.4769,2.05425,3.6431,0.4654,2.86944045911047e-06,0.531609909071701,0.468390090928299,0.0931913126962298,0.90680868730377,0.00546385294302988,0.0415478939701156,0.467693208734751,0.0218164901602458,0.00117135517638904,0.462307199015469,0.532,0.062,0.281,0.078,0.012,0.036,1,697.079,6.1,95840
"DC","Government","2018",2,"District of Columbia",704,13487,281,0.399147727272727,4.7481,17.0902,10.5659,0.432,38.6551,5.5042,11.319,13.0078,"2017",13.487,0.704,38.8251,5.4751,11.546,10.6723,9.4754,17.6678,2.59005,2.4769,4.5668,0.387,2.84090909090909e-06,0.531609909071701,0.468390090928299,0.0931913126962298,0.90680868730377,0.00546385294302988,0.0415478939701156,0.467693208734751,0.0218164901602458,0.00117135517638904,0.462307199015469,0.529,0.071,0.277,0.083,0.008,0.032,1,704.147,5.7,99110
"DC","Government","2019",2,"District of Columbia",708,13934,281,0.396892655367232,4.1638,16.8022,9.438,0.6853,36.5176,5.484,10.8539,12.2963,"2018",13.934,0.708,38.6551,5.5042,13.0078,11.319,10.5659,17.0902,2.42455,2.59005,4.7481,0.432,2.82485875706215e-06,0.532838992178197,0.467161007821803,0.100089436344242,0.899910563655758,0.00543855688685699,0.0482163566838589,0.437684925581724,0.0234947036107124,0.00114940349921851,0.484016053737629,0.549,0.065,0.255,0.082,0.013,0.036,1,708.253,5.5,106100
"DE","Government","2015",2,"Delaware",942,10714,236,0.250530785562633,2.3723,8.1095,6.2066,1.1307,NA,NA,NA,NA,"2014",10.714,0.942,NA,NA,NA,NA,6.5291,8.2263,1.7515,1.597,1.9777,1.2163,2.12314225053079e-06,0.522817787966507,0.477182212033493,0.0700020260275151,0.929997973972485,0.00608085792551435,0.0360619020790373,0.208576757301331,0.0147164532861889,0.000735475741789732,0.733828553666138,0.516,0.052,0.205,0.156,0.015,0.056,1,942.065,4.8,69910
"DE","Government","2016",2,"Delaware",950,10933,238,0.250526315789474,2.0764,9.028,6.5099,0.7859,24.3422,3.5607,7.4959,8.2607,"2015",10.933,0.95,NA,NA,NA,NA,6.2066,8.1095,1.43115,1.7515,2.3723,1.1307,2.10526315789474e-06,0.522817787966507,0.477182212033493,0.0700020260275151,0.929997973972485,0.00608085792551435,0.0360619020790373,0.208576757301331,0.0147164532861889,0.000735475741789732,0.733828553666138,0.525,0.057,0.194,0.155,0.012,0.058,1,949.989,4.5,69650
"DE","Government","2017",1,"Delaware",958,11444,242,0.252609603340292,2.178,10.1837,6.5552,0.9167,24.2278,3.5148,8.0492,8.9265,"2016",11.444,0.958,24.3422,3.5607,8.2607,7.4959,6.5099,9.028,1.54735,1.43115,2.0764,0.7859,1.04384133611691e-06,0.522817787966507,0.477182212033493,0.0700020260275151,0.929997973972485,0.00608085792551435,0.0360619020790373,0.208576757301331,0.0147164532861889,0.000735475741789732,0.733828553666138,0.531,0.052,0.179,0.167,0.015,0.056,1,957.942,4.5,76600
"DE","Government","2018",1,"Delaware",967,11771,245,0.253360910031024,2.3744,11.4371,6.618,0.91,25.2086,3.5768,7.7564,8.759,"2017",11.771,0.967,24.2278,3.5148,8.9265,8.0492,6.5552,10.1837,1.6422,1.54735,2.178,0.9167,1.03412616339193e-06,0.522817787966507,0.477182212033493,0.0700020260275151,0.929997973972485,0.00608085792551435,0.0360619020790373,0.208576757301331,0.0147164532861889,0.000735475741789732,0.733828553666138,0.499,0.047,0.214,0.17,0.012,0.058,1,966.985,3.7,75140
"DE","Government","2019",1,"Delaware",977,12213,244,0.249744114636643,2.3904,12.6284,6.5821,0.6295,25.9846,4.1409,7.7549,8.793,"2018",12.213,0.977,25.2086,3.5768,8.759,7.7564,6.618,11.4371,1.50995,1.6422,2.3744,0.91,1.02354145342886e-06,0.523004123484441,0.476995876515559,0.077590124351862,0.922409875648138,0.00641632304296321,0.0413060505822723,0.220327418905885,0.0180410535923512,0.00098911840291039,0.712920035473618,0.497,0.041,0.204,0.173,0.018,0.066,1,976.668,3.6,84510
"FL","Government","2015",34,"Florida",20219,8330,3755,0.185716405361294,2.0155,7.8732,6.1937,0.2372,NA,NA,NA,NA,"2014",8.33,20.219,NA,NA,NA,NA,6.3059,7.5887,1.12635,1.2099,2.0895,0.3303,1.68158662644048e-06,0.516706710118126,0.483293289881874,0.22402095757558,0.77597904242442,0.00467203653343493,0.0267417870996975,0.153049961193014,0.0133307084200469,0.000996320742250259,0.801209186011556,0.387,0.102,0.188,0.168,0.021,0.134,1,20219.11,5.5,59100
"FL","Government","2016",36,"Florida",20627,8519,3840,0.186163765937848,1.7301,7.7032,5.9294,0.2385,27.1351,3.4687,6.9254,7.3549,"2015",8.519,20.627,NA,NA,NA,NA,6.1937,7.8732,0.9843,1.12635,2.0155,0.2372,1.74528530566733e-06,0.516706710118126,0.483293289881874,0.22402095757558,0.77597904242442,0.00467203653343493,0.0267417870996975,0.153049961193014,0.0133307084200469,0.000996320742250259,0.801209186011556,0.393,0.101,0.19,0.172,0.019,0.125,1,20627.24,4.9,61400
"FL","Government","2017",34,"Florida",20977,8814,3892,0.185536540020022,2.0864,8.7477,5.5681,0.3025,26.3567,3.2324,6.8424,7.1553,"2016",8.814,20.977,27.1351,3.4687,7.3549,6.9254,5.9294,7.7032,1.19445,0.9843,1.7301,0.2385,1.6208228059303e-06,0.516706710118126,0.483293289881874,0.22402095757558,0.77597904242442,0.00467203653343493,0.0267417870996975,0.153049961193014,0.0133307084200469,0.000996320742250259,0.801209186011556,0.397,0.097,0.186,0.172,0.019,0.129,1,20977.09,4.3,62600
