"State_Abbrev","year","State_Name","pop_millions","percapita_health_spending_thousands","medicaid_enroll_percapita","prev2years_drugusecalc","prev2years_aud","prev2years_marijuana","Gender_Male","Ethnicity_HispanicorLatino","Race_White","Insurance_Uninsured","Unemployment","Income","Forprofit","Government","Nonprofit","count_tx_total","profit_type","OTP_status","count_tx"
"AK","2019","Alaska",0.733603,13.226,0.295800317065225,1.47805,7.4148,17.5117,52.458506655386,6.40572997734837,68.7635245434873,11.5,5.6,92670,16,28,52,96,"Nonprofit","NotOTP",50
"AK","2019","Alaska",0.733603,13.226,0.295800317065225,1.47805,7.4148,17.5117,52.458506655386,6.40572997734837,68.7635245434873,11.5,5.6,92670,16,28,52,96,"Forprofit","OTP",2
"AK","2019","Alaska",0.733603,13.226,0.295800317065225,1.47805,7.4148,17.5117,52.458506655386,6.40572997734837,68.7635245434873,11.5,5.6,92670,16,28,52,96,"Nonprofit","OTP",2
"AK","2019","Alaska",0.733603,13.226,0.295800317065225,1.47805,7.4148,17.5117,52.458506655386,6.40572997734837,68.7635245434873,11.5,5.6,92670,16,28,52,96,"Government","OTP",NA
"AK","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,31,59,105,"Forprofit","NotOTP",13
"AK","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,31,59,105,"Government","NotOTP",31
"AK","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,31,59,105,"Nonprofit","NotOTP",57
"AK","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,31,59,105,"Forprofit","OTP",2
"AK","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,31,59,105,"Nonprofit","OTP",2
"AK","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,31,59,105,"Government","OTP",NA
"AK","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,25,75,115,"Forprofit","NotOTP",14
"AK","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,25,75,115,"Government","NotOTP",23
"AK","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,25,75,115,"Nonprofit","NotOTP",73
"AK","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,25,75,115,"Forprofit","OTP",1
"AK","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,25,75,115,"Government","OTP",2
"AK","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,25,75,115,"Nonprofit","OTP",2
"AK","2022","Alaska",0.734442,NA,NA,1.41065,7.652,18.2042,52.6112246330681,7.70124171361659,64.0828645156717,10.7,4.3,93310,9,16,72,97,"Forprofit","NotOTP",7
"AK","2022","Alaska",0.734442,NA,NA,1.41065,7.652,18.2042,52.6112246330681,7.70124171361659,64.0828645156717,10.7,4.3,93310,9,16,72,97,"Government","NotOTP",14
"AK","2022","Alaska",0.734442,NA,NA,1.41065,7.652,18.2042,52.6112246330681,7.70124171361659,64.0828645156717,10.7,4.3,93310,9,16,72,97,"Nonprofit","NotOTP",70
"AK","2022","Alaska",0.734442,NA,NA,1.41065,7.652,18.2042,52.6112246330681,7.70124171361659,64.0828645156717,10.7,4.3,93310,9,16,72,97,"Forprofit","OTP",2
"AK","2022","Alaska",0.734442,NA,NA,1.41065,7.652,18.2042,52.6112246330681,7.70124171361659,64.0828645156717,10.7,4.3,93310,9,16,72,97,"Government","OTP",2
"AK","2022","Alaska",0.734442,NA,NA,1.41065,7.652,18.2042,52.6112246330681,7.70124171361659,64.0828645156717,10.7,4.3,93310,9,16,72,97,"Nonprofit","OTP",2
"AK","2023","Alaska",0.73651,NA,NA,1.03051881511161,12.548979360962,23.3858418464708,52.5418390359501,7.45821550410005,64.1523249059866,NA,4.2,98190,11,13,60,84,"Forprofit","NotOTP",8
"AK","2023","Alaska",0.73651,NA,NA,1.03051881511161,12.548979360962,23.3858418464708,52.5418390359501,7.45821550410005,64.1523249059866,NA,4.2,98190,11,13,60,84,"Government","NotOTP",11
"AK","2023","Alaska",0.73651,NA,NA,1.03051881511161,12.548979360962,23.3858418464708,52.5418390359501,7.45821550410005,64.1523249059866,NA,4.2,98190,11,13,60,84,"Nonprofit","NotOTP",56
"AK","2023","Alaska",0.73651,NA,NA,1.03051881511161,12.548979360962,23.3858418464708,52.5418390359501,7.45821550410005,64.1523249059866,NA,4.2,98190,11,13,60,84,"Forprofit","OTP",3
"AK","2023","Alaska",0.73651,NA,NA,1.03051881511161,12.548979360962,23.3858418464708,52.5418390359501,7.45821550410005,64.1523249059866,NA,4.2,98190,11,13,60,84,"Government","OTP",2
"AK","2023","Alaska",0.73651,NA,NA,1.03051881511161,12.548979360962,23.3858418464708,52.5418390359501,7.45821550410005,64.1523249059866,NA,4.2,98190,11,13,60,84,"Nonprofit","OTP",4
"AL","2015","Alabama",4.854803,7.657,0.212984955311266,0.76845,6.0645,5.6292,47.7593935905436,3.20733482850412,71.3531564388278,10.2,6.1,55920,37,14,88,139,"Forprofit","NotOTP",14
"AL","2015","Alabama",4.854803,7.657,0.212984955311266,0.76845,6.0645,5.6292,47.7593935905436,3.20733482850412,71.3531564388278,10.2,6.1,55920,37,14,88,139,"Government","NotOTP",14
"AL","2015","Alabama",4.854803,7.657,0.212984955311266,0.76845,6.0645,5.6292,47.7593935905436,3.20733482850412,71.3531564388278,10.2,6.1,55920,37,14,88,139,"Nonprofit","NotOTP",87
"AL","2015","Alabama",4.854803,7.657,0.212984955311266,0.76845,6.0645,5.6292,47.7593935905436,3.20733482850412,71.3531564388278,10.2,6.1,55920,37,14,88,139,"Forprofit","OTP",23
"AL","2015","Alabama",4.854803,7.657,0.212984955311266,0.76845,6.0645,5.6292,47.7593935905436,3.20733482850412,71.3531564388278,10.2,6.1,55920,37,14,88,139,"Nonprofit","OTP",1
"AL","2015","Alabama",4.854803,7.657,0.212984955311266,0.76845,6.0645,5.6292,47.7593935905436,3.20733482850412,71.3531564388278,10.2,6.1,55920,37,14,88,139,"Government","OTP",NA
"AL","2016","Alabama",4.866824,7.968,0.215335504222055,0.7985,4.8974,5.3685,47.7593935905436,3.20733482850412,71.3531564388278,9.2,5.8,58800,42,13,81,136,"Forprofit","NotOTP",19
"AL","2016","Alabama",4.866824,7.968,0.215335504222055,0.7985,4.8974,5.3685,47.7593935905436,3.20733482850412,71.3531564388278,9.2,5.8,58800,42,13,81,136,"Government","NotOTP",13
"AL","2016","Alabama",4.866824,7.968,0.215335504222055,0.7985,4.8974,5.3685,47.7593935905436,3.20733482850412,71.3531564388278,9.2,5.8,58800,42,13,81,136,"Nonprofit","NotOTP",80
"AL","2016","Alabama",4.866824,7.968,0.215335504222055,0.7985,4.8974,5.3685,47.7593935905436,3.20733482850412,71.3531564388278,9.2,5.8,58800,42,13,81,136,"Forprofit","OTP",23
"AL","2016","Alabama",4.866824,7.968,0.215335504222055,0.7985,4.8974,5.3685,47.7593935905436,3.20733482850412,71.3531564388278,9.2,5.8,58800,42,13,81,136,"Nonprofit","OTP",1
"AL","2016","Alabama",4.866824,7.968,0.215335504222055,0.7985,4.8974,5.3685,47.7593935905436,3.20733482850412,71.3531564388278,9.2,5.8,58800,42,13,81,136,"Government","OTP",NA
"AL","2017","Alabama",4.877989,8.154,0.212177600236491,0.82205,4.4158,5.2544,47.7593935905436,3.20733482850412,71.3531564388278,9.5,4.5,62250,40,12,77,129,"Forprofit","NotOTP",18
"AL","2017","Alabama",4.877989,8.154,0.212177600236491,0.82205,4.4158,5.2544,47.7593935905436,3.20733482850412,71.3531564388278,9.5,4.5,62250,40,12,77,129,"Government","NotOTP",12
"AL","2017","Alabama",4.877989,8.154,0.212177600236491,0.82205,4.4158,5.2544,47.7593935905436,3.20733482850412,71.3531564388278,9.5,4.5,62250,40,12,77,129,"Nonprofit","NotOTP",76
"AL","2017","Alabama",4.877989,8.154,0.212177600236491,0.82205,4.4158,5.2544,47.7593935905436,3.20733482850412,71.3531564388278,9.5,4.5,62250,40,12,77,129,"Forprofit","OTP",22
"AL","2017","Alabama",4.877989,8.154,0.212177600236491,0.82205,4.4158,5.2544,47.7593935905436,3.20733482850412,71.3531564388278,9.5,4.5,62250,40,12,77,129,"Nonprofit","OTP",1
"AL","2017","Alabama",4.877989,8.154,0.212177600236491,0.82205,4.4158,5.2544,47.7593935905436,3.20733482850412,71.3531564388278,9.5,4.5,62250,40,12,77,129,"Government","OTP",NA
"AL","2018","Alabama",4.891628,8.343,0.210563845002114,1.041,4.81,6.4844,47.7593935905436,3.20733482850412,71.3531564388278,10.2,3.9,59900,38,14,80,132,"Forprofit","NotOTP",17
"AL","2018","Alabama",4.891628,8.343,0.210563845002114,1.041,4.81,6.4844,47.7593935905436,3.20733482850412,71.3531564388278,10.2,3.9,59900,38,14,80,132,"Government","NotOTP",14
"AL","2018","Alabama",4.891628,8.343,0.210563845002114,1.041,4.81,6.4844,47.7593935905436,3.20733482850412,71.3531564388278,10.2,3.9,59900,38,14,80,132,"Nonprofit","NotOTP",79
"AL","2018","Alabama",4.891628,8.343,0.210563845002114,1.041,4.81,6.4844,47.7593935905436,3.20733482850412,71.3531564388278,10.2,3.9,59900,38,14,80,132,"Forprofit","OTP",21
"AL","2018","Alabama",4.891628,8.343,0.210563845002114,1.041,4.81,6.4844,47.7593935905436,3.20733482850412,71.3531564388278,10.2,3.9,59900,38,14,80,132,"Nonprofit","OTP",1
"AL","2018","Alabama",4.891628,8.343,0.210563845002114,1.041,4.81,6.4844,47.7593935905436,3.20733482850412,71.3531564388278,10.2,3.9,59900,38,14,80,132,"Government","OTP",NA
"AL","2019","Alabama",4.907965,8.741,0.213122954218296,1.0911,4.9973,8.5262,47.5800670186042,3.49907494636365,70.4291274856398,9.7,3.2,66430,52,15,86,153,"Forprofit","NotOTP",32
"AL","2019","Alabama",4.907965,8.741,0.213122954218296,1.0911,4.9973,8.5262,47.5800670186042,3.49907494636365,70.4291274856398,9.7,3.2,66430,52,15,86,153,"Government","NotOTP",15
"AL","2019","Alabama",4.907965,8.741,0.213122954218296,1.0911,4.9973,8.5262,47.5800670186042,3.49907494636365,70.4291274856398,9.7,3.2,66430,52,15,86,153,"Nonprofit","NotOTP",85
"AL","2019","Alabama",4.907965,8.741,0.213122954218296,1.0911,4.9973,8.5262,47.5800670186042,3.49907494636365,70.4291274856398,9.7,3.2,66430,52,15,86,153,"Forprofit","OTP",20
"AL","2019","Alabama",4.907965,8.741,0.213122954218296,1.0911,4.9973,8.5262,47.5800670186042,3.49907494636365,70.4291274856398,9.7,3.2,66430,52,15,86,153,"Nonprofit","OTP",1
"AL","2019","Alabama",4.907965,8.741,0.213122954218296,1.0911,4.9973,8.5262,47.5800670186042,3.49907494636365,70.4291274856398,9.7,3.2,66430,52,15,86,153,"Government","OTP",NA
"AL","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,14,91,155,"Forprofit","NotOTP",31
"AL","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,14,91,155,"Government","NotOTP",14
"AL","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,14,91,155,"Nonprofit","NotOTP",90
"AL","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,14,91,155,"Forprofit","OTP",19
"AL","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,14,91,155,"Nonprofit","OTP",1
"AL","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,14,91,155,"Government","OTP",NA
"AL","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,20,83,156,"Forprofit","NotOTP",36
"AL","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,20,83,156,"Government","NotOTP",20
"AL","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,20,83,156,"Nonprofit","NotOTP",81
"AL","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,20,83,156,"Forprofit","OTP",17
"AL","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,20,83,156,"Government","OTP",NA
