CASEID,STATE,DETOX,TREATMT,OWNERSHP,FEDOWN,HOSPITAL,LOCS,ASSESSMENT,TESTING,TRANSITION,ANCILLARY,OTHER_SRVC,SRVC75,SRVC71,SRVC108,SRVC85,SRVC87,SRVC86,OTP,OTPALL,OPIOIDMAINT,OPIOIDWDRAW,OPIOIDDETOX,OPIOIDNAL,COMPSAT,DUI_DWI,ONLYDUI,SIGNLANG,LANG,LANG16,LANG1,LANG2,LANG3,LANG21,LANG4,LANG5,LANG6,LANG7,LANG8,LANG24,LANG9,LANG10,LANG22,LANG25,LANG26,LANG11,LANG19,LANG23,LANG12,LANG13,LANG14,LANG15,LANG20,LANG17,LANG18,SRVC30,SRVC34,SRVC33,SRVC64,SRVC63,SRVC62,SRVC113,SRVC114,SRVC115,SRVC61,SRVC31,SRVC32,SRVC116,CTYPE4,CTYPEHI1,CTYPEHI2,CTYPE7,CTYPERC1,CTYPERC3,CTYPERC4,CTYPE1,CTYPE6,CTYPEML,CTYPEOP,CTYPE2,CTYPE3,FEESCALE,PAYASST,EARMARK,REVCHK3,REVCHK1,REVCHK8,REVCHK5,REVCHK10,REVCHK15,REVCHK2,REVCHK17,HINUM,RCNUM,OPNUM,LOC5,LICEN,ACCRED
16,AK,0,1,5,,0,,5,0,2,11,1,0,0,0,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,1,0,1,0,,,0,,,,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,,,1,0,1,1
17,AK,0,1,2,,0,,5,4,1,12,0,0,1,0,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,1,0,,,,,,0,0,0,0,1,0,1,0,1,1,0,,1,,0,0,0
18,AK,0,1,1,,0,,4,4,2,8,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,0,0,0,0,1,0,,,0,,,,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,,,2,0,1,1
19,AK,0,1,5,,0,,7,7,2,11,0,0,1,0,0,0,0,0,,,,,,4,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,1,0,,,0,,,,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,,,,0,1,1
20,AK,0,1,2,,0,,6,1,2,8,2,0,0,0,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,,,,0,1,M
21,AK,0,1,5,,1,1,4,0,2,8,0,0,0,0,0,0,0,0,,,,,,1,0,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,D,,,,0,1,1
22,AK,0,1,2,,0,,0,5,1,10,0,1,0,0,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,1,0,,,,,,1,1,0,0,1,0,0,0,0,1,0,,1,,0,1,1
23,AK,0,1,2,,0,,1,1,1,6,0,0,0,0,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,0,0,0,0,1,1,0,1,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,,,1,0,1,1
24,AK,0,1,2,,0,,4,2,2,8,0,0,0,0,0,0,0,0,,,,,,M,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,1,0,,,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,,1,1,0,1,M
25,AK,1,1,2,,0,,5,1,2,12,0,0,0,0,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,,1,1,0,1,1
26,AK,0,1,2,,0,,7,2,2,9,0,0,0,0,0,0,0,0,,,,,,3,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,1,0,0,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,,,,0,1,1
27,AK,0,1,2,,1,1,4,5,1,7,2,0,1,1,0,1,1,0,0,1,0,0,1,3,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,,0,,,,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,,,5,0,1,1
28,AK,0,1,6,3,0,,6,5,2,13,3,0,1,0,0,1,1,0,,,,,,3,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,1,1,0,1,0,,,0,,,,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,,,,0,1,1
29,AK,0,1,2,,0,,5,1,1,13,0,0,0,0,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,1,1,0,1,0,,,1,0,0,1,0,,,,,,1,1,0,0,0,1,1,1,1,1,0,,1,,0,0,1
30,AK,0,1,6,2,1,1,5,7,1,2,1,0,1,1,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,0,,,,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,,,2,0,1,1
31,AK,0,1,5,,0,,6,7,2,14,0,0,0,0,0,0,0,0,,,,,,1,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,1,1,1,D,1,1,,,2,0,1,1
32,AK,0,1,2,,0,,7,1,2,16,0,0,0,0,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,0,0,1,0,1,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,,,2,1,1,1
33,AK,0,1,2,,0,,7,7,2,13,0,0,0,0,0,0,0,0,,,,,,3,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0,1,1,1,0,,,0,,,,1,0,0,0,0,1,1,1,D,0,1,1,1,D,1,1,1,,,1,0,1,1
