CASEID,STATE,DETOX,TREATMT,OWNERSHP,FEDOWN,HOSPITAL,LOCS,ASSESSMENT,TESTING,TRANSITION,ANCILLARY,OTHER_SRVC,SRVC75,SRVC71,SRVC108,SRVC85,SRVC87,SRVC86,OTP,OTPALL,OPIOIDMAINT,OPIOIDWDRAW,OPIOIDDETOX,OPIOIDNAL,COMPSAT,DUI_DWI,ONLYDUI,SIGNLANG,LANG,LANG16,LANG1,LANG2,LANG3,LANG21,LANG4,LANG5,LANG6,LANG7,LANG8,LANG24,LANG9,LANG10,LANG22,LANG25,LANG26,LANG11,LANG19,LANG23,LANG12,LANG13,LANG14,LANG15,LANG20,LANG17,LANG18,SRVC30,SRVC34,SRVC33,SRVC64,SRVC63,SRVC62,SRVC113,SRVC114,SRVC115,SRVC61,SRVC31,SRVC32,SRVC116,CTYPE4,CTYPEHI1,CTYPEHI2,CTYPE7,CTYPERC1,CTYPERC3,CTYPERC4,CTYPE1,CTYPE6,CTYPEML,CTYPEOP,CTYPE2,CTYPE3,FEESCALE,PAYASST,EARMARK,REVCHK3,REVCHK1,REVCHK8,REVCHK5,REVCHK10,REVCHK15,REVCHK2,REVCHK17,HINUM,RCNUM,OPNUM,LOC5,LICEN,ACCRED
47,AK,0,1,2,,0,,7,2,2,14,0,0,0,0,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,,,5,0,1,1
48,AK,0,1,2,,0,,6,2,0,4,0,0,0,0,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,,,5,0,1,1
49,AK,0,1,2,,0,,6,3,1,16,0,0,0,0,0,0,0,0,,,,,,M,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,1,1,0,0,0,,,1,0,0,1,0,,,,,,1,0,1,0,1,1,0,1,1,1,0,,2,,1,1,1
50,AK,0,1,2,,0,,5,2,2,4,0,0,0,0,0,0,0,0,,,,,,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,,,1,0,1,0
51,AK,0,1,2,,0,,6,0,2,10,0,0,0,0,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,1,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,,,1,0,1,1
52,AK,0,1,2,,0,,5,1,1,11,0,0,0,0,0,0,0,0,,,,,,M,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,1,1,0,1,0,,,1,0,0,1,0,,,,,,1,1,1,0,1,D,1,1,D,1,D,,3,,0,1,1
53,AK,0,1,2,,0,,7,0,2,13,0,0,0,0,0,0,0,0,,,,,,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,,,1,0,1,1
54,AK,0,1,2,,0,,4,2,2,15,0,0,0,0,0,0,0,0,,,,,,1,0,,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,,,0,,,,1,0,0,1,1,1,1,0,1,0,1,1,1,D,D,1,D,,,,0,1,1
55,AK,0,1,5,,1,1,7,6,2,10,0,0,0,0,0,0,0,0,,,,,,2,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,1,0,0,1,1,0,0,0,0,1,0,1,1,0,D,1,1,D,1,1,1,,,,0,1,1
56,AK,0,1,5,,0,,7,7,2,10,0,0,0,0,0,0,0,0,,,,,,3,0,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,,,2,0,1,1
57,AK,0,1,1,,0,,7,2,2,7,0,0,0,0,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,1,0,1,0,,,0,,,,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,,,,0,1,0
58,AK,0,1,6,3,1,1,7,7,2,13,3,0,1,0,0,0,0,0,,,,,,4,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,M,M,M,M,M,M,M,M,M,M,M,M,M,0,,,0,,,,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,,,2,0,M,1
59,AK,0,1,2,,0,,4,1,2,16,0,0,0,0,0,0,0,0,,,,,,4,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,1,0,,,,,,1,1,1,0,1,0,1,1,1,1,1,,1,,0,1,1
60,AK,0,1,6,2,0,,4,0,2,1,0,0,0,0,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,0,D,1,0,0,0,0,0,0,0,,,,0,1,1
61,AK,0,1,2,,1,1,7,1,2,14,1,0,0,0,0,0,0,0,,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,D,,,5,0,1,1
62,AK,0,1,5,,0,,5,7,1,7,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,1,0,0,0,1,1,1,0,,,0,,,,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,,,1,0,1,1
63,AK,0,1,1,,0,,6,0,2,5,3,0,0,0,0,0,0,0,,,,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,0,1,1,1,1,1,0,1,0,,,0,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,,,1,0,1,0
64,AK,0,1,5,,1,1,7,5,2,13,0,0,0,0,0,0,0,0,,,,,,2,0,,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,,,0,,,,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,,,5,0,1,1
65,AK,0,1,1,,0,,6,2,2,7,0,0,0,0,0,0,0,0,,,,,,M,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,1,1,0,1,1,1,1,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,,,3,0,1,1
66,AK,0,1,4,,0,,6,0,2,14,3,0,0,0,0,0,0,0,,,,,,1,0,,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,,,,0,1,1
67,AK,1,1,1,,0,,5,2,2,8,2,0,1,1,0,1,1,0,0,1,1,1,1,4,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,,,3,0,1,1
68,AK,0,1,2,,0,,5,2,2,8,0,0,0,0,0,0,0,0,,,,,,4,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,1,0,1,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,,,4,0,1,1
69,AK,0,1,6,1,0,,6,0,2,11,0,0,0,0,0,0,0,0,,,,,,M,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,,,,0,0,M
70,AK,0,1,1,,0,,7,2,2,13,1,0,0,0,0,0,0,0,,,,,,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,0,,,,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,D,,,3,0,1,1
