CASEID,STATE,DETOX,TREATMT,OWNERSHP,FEDOWN,HOSPITAL,LOCS,ASSESSMENT,TESTING,TRANSITION,ANCILLARY,SRVC75,SRVC71,SRVC85,SRVC87,SRVC86,OTP,DUI_DWI,ONLYDUI,SIGNLANG,LANG,LANG16,LANG1,LANG2,LANG3,LANG4,LANG5,LANG6,LANG7,LANG8,LANG9,LANG10,LANG11,LANG19,LANG12,LANG13,LANG14,LANG15,LANG20,LANG17,LANG18,SRVC76,SRVC83,SRVC84,SRVC33,SRVC63,SRVC62,SRVC61,SRVC31,SRVC32,CTYPE4,CTYPEHI1,CTYPEHI2,CTYPE7,CTYPERC1,CTYPERC3,CTYPERC4,CTYPE1,CTYPE6,CTYPEML,CTYPEOP,CTYPE2,CTYPE3,FEESCALE,PAYASST,EARMARK,REVCHK3,REVCHK1,REVCHK8,REVCHK5,REVCHK10,REVCHK15,REVCHK2,T_CLI1,T_CLI2,T_CLIHI,H_AGE1,HIMETNUM,HIBUPNUM,HIMATNUM,HOSPBED,T_CLI3,T_CLI9,T_CLI10,T_CLIRC,R_AGE1,RCMETNUM,RCBUPNUM,RCMATNUM,RESBED,T_CLI7,T_CLIML,T_CLI8,T_CLI6,T_CLI5,T_CLIOP,O_AGE1,OPMETNUM,OPBUPNUM,OPMATNUM,B_PCT,A_PCT,D_PCT,LOC5,LICEN,ACCRED
15,AK,0,1,2,,0,,6,0,2,9,0,0,0,0,0,,0,,1,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,1,0,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,5,1,1,0,1,M
16,AK,1,1,2,,1,1,3,5,1,4,0,1,0,1,1,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,,,0,,,,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,1,4,5,5,4,5,1,1,4,,1,5,4,0,1,1
17,AK,0,1,6,3,0,,6,0,2,7,0,1,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,1,0,0,,,0,,,,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,4,4,1,1,1,,2,4,2,0,1,1
18,AK,1,1,6,2,1,1,3,0,2,3,0,1,0,0,0,,0,,0,1,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,,1,0,0,,,0,,,,1,1,0,0,1,1,0,0,1,0,D,D,D,D,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,1,1,1,,1,5,4,0,M,1
19,AK,0,1,1,,0,,2,1,2,2,0,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,1,1,1,,4,1,1,0,1,M
20,AK,0,1,2,,0,,6,0,2,12,0,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,M
21,AK,0,1,2,,0,,2,1,2,6,0,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,0,0,1,0,0,,,1,0,0,1,0,,,,,,0,1,1,0,0,0,1,1,1,1,,,,,,,,,1,1,3,2,3,1,1,,1,,,,,,,,,,,4,1,1,0,1,M
22,AK,0,1,6,2,1,1,4,7,1,6,0,1,0,1,1,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,5,1,1,0,1,1
23,AK,0,1,5,,0,,6,2,2,4,0,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,4,3,2,1,1,,4,2,1,0,1,M
24,AK,0,1,2,,0,,4,2,2,6,0,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,1,1,1,,1,3,4,0,1,1
25,AK,0,1,2,,0,,5,2,2,3,0,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,0,0,,,0,,,,1,0,0,0,1,1,0,M,1,0,1,0,1,D,D,1,,,,,,,,,,,,,,,,,,1,1,1,3,4,4,3,1,1,,2,4,2,0,1,1
26,AK,0,1,1,,0,,1,1,2,1,0,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,1,1,1,3,2,3,1,1,1,,4,1,1,0,1,M
27,AK,0,1,2,,0,,6,0,1,6,0,0,0,0,0,,0,,1,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,1,,0,,,0,,,,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,1,1,1,5,4,5,4,1,1,,2,3,3,0,1,M
28,AK,1,1,4,,0,,6,7,2,10,M,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,3,1,1,,5,1,1,0,1,M
29,AK,0,1,2,,0,,6,2,2,11,0,0,0,0,0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,1,1,0,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,4,4,4,3,1,1,,4,2,1,0,1,M
30,AK,0,1,6,3,0,,5,2,1,13,1,0,0,0,0,,0,,1,1,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,0,0,,,1,0,0,1,0,,,,,,1,0,1,0,1,1,1,1,1,1,,,,,,,,,1,1,2,1,1,1,1,,1,,,,,,,,,,,2,3,3,0,1,1
31,AK,0,1,2,,0,,6,0,2,9,0,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,4,4,1,0,1,M
32,AK,0,1,2,,0,,6,0,2,5,0,0,0,0,0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,1,1,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,1,1,,3,4,1,0,1,M
33,AK,0,1,4,,0,,5,0,2,9,0,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,0,0,1,0,0,,,0,,,,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,M
34,AK,1,1,5,,1,1,5,7,2,11,0,0,0,0,0,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,0,0,,,0,,,,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,2,1,1,4,2,3,2,1,1,,2,4,1,1,1,M
35,AK,0,1,2,,0,,6,0,1,10,0,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,5,5,5,1,1,,2,4,2,0,M,M
36,AK,0,1,2,,1,2,6,2,2,6,M,0,0,0,0,,1,0,0,1,M,0,M,M,0,0,M,M,M,M,M,M,M,M,M,M,M,M,M,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,,2,1,2,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,3,4,2,0,1,1
37,AK,0,1,2,,0,,4,5,2,8,0,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,1,1,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,2,1,1,1,1,,4,2,1,0,M,M
38,AK,0,1,5,,0,,5,0,2,8,0,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,3,1,1,,4,1,1,0,1,M
39,AK,0,1,2,,0,,3,1,2,12,0,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,1,1,,5,1,1,0,1,1
40,AK,0,1,5,,0,,6,6,2,8,0,1,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,3,1,1,,1,5,1,0,1,M
41,AK,0,1,2,,0,,3,2,2,5,0,0,0,0,0,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,1,0,1,0,,,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,,,,,,,,,1,1,4,3,1,1,1,,3,1,1,1,1,2,2,1,1,1,,4,3,1,1,1,M
42,AK,0,1,1,,0,,2,1,2,2,0,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,1,1,1,2,4,4,1,1,1,,4,1,1,0,1,M
43,AK,0,1,2,,0,,6,0,2,10,0,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,M
44,AK,0,1,2,,0,,1,1,2,11,1,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0,1,1,0,0,,,1,0,0,1,0,,,,,,1,1,1,0,1,D,1,1,D,1,,,,,,,,,1,1,3,2,3,1,1,,2,,,,,,,,,,,5,1,1,0,1,1
45,AK,0,1,2,,0,,6,0,2,12,0,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,2,5,1,0,1,M
46,AK,0,1,5,,0,,4,0,2,11,1,1,0,0,0,,0,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,,,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,1,1,3,2,1,1,1,,2,1,1,1,1,3,3,1,1,1,,4,3,1,0,1,M
47,AK,0,1,5,,0,,6,7,2,8,0,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,1,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,3,2,1,1,1,,2,4,1,0,1,M
48,AK,0,1,5,,1,1,3,5,1,9,0,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0,0,0,0,0,,,1,0,1,0,0,,,,,,0,1,1,0,1,0,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,,1,,,,,,,,,,,4,3,1,0,1,1
49,AK,0,1,2,,0,,2,0,1,9,0,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,,0,0,0,1,0,,,1,0,1,1,0,,,,,,1,1,1,0,1,1,1,D,D,1,,,,,,,,,1,1,1,1,2,1,1,,1,,,,,,,,,,,5,1,1,0,1,1
50,AK,0,1,6,2,1,1,5,1,2,6,0,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1,1,1,2,4,4,1,1,1,,1,5,1,0,1,1
51,AK,0,1,2,,0,,5,2,2,11,0,1,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,,,1,0,1,0,0,,,,,,0,1,1,0,0,1,1,0,1,1,,,,,,,,,1,2,1,1,1,1,1,,1,,,,,,,,,,,4,3,1,0,1,1
52,AK,0,1,2,,1,1,6,6,2,10,M,1,0,0,0,,0,,1,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
53,AK,1,1,4,,0,,0,2,1,9,0,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,,,1,1,1,1,0,,,,,,1,1,D,0,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,0,M,M
54,AK,0,1,2,,1,1,5,7,2,6,0,1,0,0,0,,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,1,2,1,1,1,1,1,,2,1,1,1,1,1,1,1,1,1,,2,5,1,0,1,1
55,AK,1,1,2,,0,,5,2,2,13,0,1,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,,,1,1,1,0,0,,,,,,0,1,1,0,0,0,1,0,1,1,,,,,,,,,1,1,1,1,1,1,1,,1,,,,,,,,,,,5,1,1,0,1,1
56,AK,0,1,2,,0,,6,2,2,10,0,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,0,0,,,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,,1,1,1,1,1,4,4,4,1,1,,2,5,1,0,1,M
57,AK,0,1,2,,0,,0,2,1,11,1,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,,,1,0,1,1,0,,,,,,1,1,1,0,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,,1,,,,,,,,,,,2,3,3,0,M,1
58,AK,0,1,2,,0,,4,1,2,11,1,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,1,1,0,0,,,1,0,0,1,0,,,,,,1,1,1,0,1,1,1,0,1,1,,,,,,,,,1,1,2,2,1,1,1,,2,,,,,,,,,,,1,4,5,0,1,1
59,AK,1,1,6,1,0,,6,7,2,8,0,1,0,1,0,,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,,,0,,,,1,1,0,0,1,1,1,1,1,0,1,D,D,D,1,1,,,,,,,,,,,,,,,,,,1,1,1,4,3,3,1,1,1,,4,3,1,0,1,1
60,AK,0,1,2,,0,,6,2,2,14,0,1,0,1,1,,0,,1,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,,,,,,,,,1,1,1,1,1,1,1,,1,1,1,1,1,3,3,1,1,1,,5,1,1,0,1,M
61,AK,0,1,4,,1,1,6,0,2,10,0,0,0,0,0,,0,,0,1,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,1,1,1,,1,5,1,0,1,M
62,AK,0,1,2,,0,,2,3,2,10,0,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,,,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,1,2,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,3,4,1,0,M,1
63,AK,0,1,2,,1,1,4,2,2,6,0,0,0,0,0,,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,3,2,3,3,1,1,,4,3,1,0,1,M
64,AK,0,1,2,,0,,5,1,2,9,0,0,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1,1,4,4,1,4,1,1,1,,1,5,1,0,1,1
65,AK,0,1,2,,0,,6,1,2,8,0,0,0,0,0,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,2,3,3,1,1,1,,4,2,1,0,1,M
66,AK,0,1,2,,0,,6,2,2,9,0,0,0,0,0,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,1,1,1,,5,1,1,0,1,M
67,AK,0,1,5,,0,,5,0,2,2,0,0,0,0,0,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,,,0,,,,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,1,1,,3,4,1,0,1,M
68,AK,0,1,4,,0,,6,2,2,11,0,0,0,0,0,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,D,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,3,2,1,1,1,,2,5,1,0,M,M
69,AK,1,1,2,,0,,5,5,2,8,0,0,1,0,0,1,0,,1,1,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,0,1,0,0,0,,,0,,,,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,5,0,1,1
70,AK,0,1,4,,1,1,4,2,2,9,0,1,0,0,0,,0,,1,1,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,1,1,1,0,,,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,,,,,,,,,1,5,1,5,1,1,1,,1,1,1,1,4,1,2,1,1,1,,3,3,2,0,1,1
71,AK,0,1,2,,0,,5,5,2,5,0,0,0,0,0,,0,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,1,1,0,0,,,0,,,,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,,,,,,,,,,,,,,,,,,1,1,1,1,4,3,1,1,1,,2,5,3,0,1,1
72,AK,0,1,2,,0,,5,2,2,11,0,0,0,0,0,,0,,1,0,,,,,,,,,,,,,,,,,,,,,0,1,1,,0,0,1,1,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,0,1,D,0,1,,,,,,,,,,,,,,,,,,1,1,1,5,5,5,1,1,1,,2,5,1,0,1,1
73,AK,0,1,5,,0,,4,6,2,7,0,1,0,0,0,,0,,0,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,,,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,1,3,1,2,1,1,1,,1,1,1,1,1,2,2,1,1,1,,2,5,1,0,1,1
